Registration Year,Insurance,Fuel,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2019.0,Unknown,,5.0,27000 - 42143,1,796 - 1197,Manual,108 - 138,FWD,5 - 17,Standard,101 - 121,4400 - 6000,146 - 242,2800 - 3500,3.0,4.0,MPFi,Yes,Manual,6.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,3746 - 3995,1780 - 2230,1530 - 1640,178 - 307,2550 - 2650,Unknown,650000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2014.0,Unknown,Diesel,5.0,86000 - 160000,2,1497 - 5461,Automatic,138 - 536,RWD,21 - 34,Standard,121 - 536,3000 - 4400,242 - 750,1400 - 2800,6.0,4.0,CRDi,Yes,Automatic,8.0,Not Applicable,Not Applicable,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1 - 1495,100 - 163,2650 - 3215,Unknown,530000.0,11 - 17,60 - 100,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2011.0,Unknown,Petrol,5.0,86000 - 160000,1,1199 - 1497,Manual,72 - 78,FWD,5 - 17,In-Line,101 - 121,6000 - 7900,113 - 146,4500 - 6000,4.0,4.0,EFI,No,Manual,5.0,7 - 17,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3995 - 4420,1647 - 1710,1 - 1495,100 - 163,2456 - 2550,Unknown,110000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2013.0,Third Party,Petrol,5.0,42143 - 60000,2,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,4400 - 6000,11 - 101,3500 - 4000,3.0,3.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,4 - 3746,1 - 1647,1495 - 1530,165 - 170,2 - 2400,Unknown,1250000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Third Party,Petrol,5.0,27000 - 42143,1,1197 - 1199,Automatic,85 - 108,FWD,18 - 21,V-Type,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Automatic,6.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,165 - 170,2456 - 2550,Unknown,155000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2021.0,Comprehensive,Diesel,5.0,42143 - 60000,1,1199 - 1497,Manual,72 - 78,FWD,21 - 34,Standard Brand Engine,73 - 81,3000 - 4400,146 - 242,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2456 - 2550,1340 - 1430,474000.0,25 - 27,35 - 37,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Petrol,5.0,42143 - 60000,3,796 - 1197,Automatic,78 - 85,FWD,17 - 18,V-Type,73 - 81,4400 - 6000,101 - 113,3500 - 4000,4.0,4.0,MPFi,No,Automatic,4.0,18 - 20,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,163 - 165,2400 - 2456,Unknown,117000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Diesel,5.0,500 - 27000,1,1199 - 1497,Manual,72 - 78,FWD,21 - 34,Standard Brand Engine,73 - 81,3000 - 4400,146 - 242,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2456 - 2550,1340 - 1430,594000.0,25 - 27,35 - 37,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Third Party,Petrol,5.0,27000 - 42143,1,1497 - 5461,Manual,108 - 138,FWD,17 - 18,V-Type,101 - 121,6000 - 7900,146 - 242,4000 - 4500,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3995 - 4420,1647 - 1710,1 - 1495,163 - 165,2550 - 2650,Unknown,361000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Unknown,Petrol,5.0,42143 - 60000,1,1199 - 1497,Manual,85 - 108,FWD,21 - 34,V-Type,101 - 121,4400 - 6000,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Manual,5.0,20 - 27,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,4420 - 5391,1710 - 1780,1 - 1495,165 - 170,2550 - 2650,1430 - 1520,471000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Third Party,Petrol,5.0,60000 - 86000,2,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,6000 - 7900,11 - 101,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Standard/Other,Power,Tilt Only,Ventilated Disc,Drum,4 - 3746,1 - 1647,1640 - 1995,163 - 165,2 - 2400,1340 - 1430,379000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Petrol,5.0,60000 - 86000,2,1497 - 5461,Automatic,138 - 536,RWD,21 - 34,Standard,121 - 536,4400 - 6000,242 - 750,4000 - 4500,4.0,4.0,EFI,Yes,Automatic,8.0,7 - 17,43 - 93,BS IV,Double Wishbone,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1 - 1495,165 - 170,2650 - 3215,1755 - 3250,548000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Third Party,Petrol,5.0,60000 - 86000,1,1199 - 1497,Manual,108 - 138,FWD,17 - 18,V-Type,101 - 121,6000 - 7900,113 - 146,4500 - 6000,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,35 - 40,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4420 - 5391,1647 - 1710,1 - 1495,163 - 165,2550 - 2650,Unknown,243000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2020.0,Comprehensive,Petrol,5.0,500 - 27000,1,1197 - 1199,Manual,78 - 85,FWD,21 - 34,V-Type,81 - 101,4400 - 6000,113 - 146,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,165 - 170,2 - 2400,Unknown,1666000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2021.0,Comprehensive,Petrol,5.0,27000 - 42143,1,1197 - 1199,Manual,78 - 85,FWD,21 - 34,V-Type,81 - 101,4400 - 6000,113 - 146,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,165 - 170,2 - 2400,Unknown,455000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Comprehensive,Petrol,5.0,500 - 27000,1,1197 - 1199,Automatic,85 - 108,FWD,17 - 18,V-Type,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,27 - 35,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,178 - 307,2456 - 2550,Unknown,518000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2019.0,Comprehensive,Petrol,5.0,42143 - 60000,2,1497 - 5461,Automatic,108 - 138,FWD,17 - 18,Standard Brand Engine,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,27 - 35,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Drum,4420 - 5391,1710 - 1780,1 - 1495,178 - 307,2550 - 2650,1520 - 1755,450000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,500 - 27000,1,796 - 1197,Manual,78 - 85,FWD,17 - 18,V-Type,73 - 81,4400 - 6000,113 - 146,3500 - 4000,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,43 - 93,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2550 - 2650,Unknown,775000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Third Party,CNG,5.0,60000 - 86000,1,796 - 1197,Manual,34 - 72,FWD,21 - 34,Standard,34 - 73,4400 - 6000,11 - 101,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,4 - 3746,1 - 1647,1 - 1495,100 - 163,2 - 2400,1140 - 1340,717000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Comprehensive,Diesel,5.0,500 - 27000,1,1199 - 1497,Manual,72 - 78,FWD,21 - 34,Standard Brand Engine,73 - 81,3000 - 4400,146 - 242,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2456 - 2550,1340 - 1430,819999.0,25 - 27,35 - 37,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Unknown,,5.0,27000 - 42143,1,1197 - 1199,Manual,85 - 108,FWD,17 - 18,V-Type,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Drum,3995 - 4420,1710 - 1780,1530 - 1640,178 - 307,2550 - 2650,Unknown,245000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2014.0,Third Party,Petrol,5.0,42143 - 60000,1,796 - 1197,Manual,85 - 108,FWD,21 - 34,Standard,81 - 101,4400 - 6000,101 - 113,4000 - 4500,4.0,4.0,MPFi,No,Manual,5.0,20 - 27,35 - 40,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,163 - 165,2400 - 2456,1140 - 1340,462000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2013.0,Third Party,Petrol,5.0,27000 - 42143,1,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,4400 - 6000,11 - 101,4000 - 4500,4.0,3.0,MPFi,No,Manual,5.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,163 - 165,2 - 2400,Unknown,430999.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2013.0,Unknown,Diesel,5.0,86000 - 160000,1,1497 - 5461,Automatic,138 - 536,RWD,17 - 18,Standard,121 - 536,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,CRDi,Yes,Automatic,8.0,Not Applicable,Not Applicable,BS IV,Standard/Other,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1 - 1495,100 - 163,2650 - 3215,Unknown,248000.0,17 - 25,45 - 60,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Third Party,Petrol,5.0,86000 - 160000,1,796 - 1197,Manual,78 - 85,FWD,17 - 18,V-Type,81 - 101,4400 - 6000,113 - 146,3500 - 4000,4.0,4.0,MPFi,No,Manual,5.0,18 - 20,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,163 - 165,2400 - 2456,Unknown,165000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2007.0,Third Party,Petrol,5.0,42143 - 60000,3,796 - 1197,Manual,34 - 72,FWD,17 - 18,Standard,34 - 73,6000 - 7900,11 - 101,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,4 - 3746,1 - 1647,1640 - 1995,163 - 165,2 - 2400,1340 - 1430,360000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Unknown,,7.0,86000 - 160000,2,1497 - 5461,Manual,138 - 536,FWD,5 - 17,Standard,121 - 536,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,Direct Injection,Yes,Manual,6.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,178 - 307,2650 - 3215,1755 - 3250,210000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2019.0,Unknown,,5.0,60000 - 86000,1,1199 - 1497,Manual,108 - 138,FWD,18 - 21,Standard,101 - 121,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,6.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,3746 - 3995,1780 - 2230,1530 - 1640,178 - 307,2550 - 2650,Unknown,260000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2011.0,Unknown,Petrol,5.0,60000 - 86000,3,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,6000 - 7900,11 - 101,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Ventilated Disc,Drum,4 - 3746,1 - 1647,1 - 1495,100 - 163,2 - 2400,1140 - 1340,819999.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Zero Dep,Diesel,5.0,86000 - 160000,2,1497 - 5461,Automatic,108 - 138,FWD,21 - 34,Standard,121 - 536,3000 - 4400,242 - 750,2800 - 3500,4.0,4.0,CRDi,Yes,Automatic,7.0,Not Applicable,Not Applicable,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,4420 - 5391,1710 - 1780,1 - 1495,100 - 163,2650 - 3215,1755 - 3250,390000.0,17 - 25,45 - 60,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2011.0,Unknown,Petrol,5.0,86000 - 160000,2,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,4400 - 6000,11 - 101,4000 - 4500,4.0,3.0,MPFi,No,Manual,5.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,163 - 165,2 - 2400,Unknown,819999.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2013.0,Third Party,Petrol,5.0,42143 - 60000,2,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,4400 - 6000,11 - 101,3500 - 4000,3.0,3.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,4 - 3746,1 - 1647,1495 - 1530,165 - 170,2 - 2400,Unknown,1250000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Third Party,Petrol,5.0,27000 - 42143,1,1197 - 1199,Automatic,85 - 108,FWD,18 - 21,V-Type,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Automatic,6.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,165 - 170,2456 - 2550,Unknown,300000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2021.0,Comprehensive,Diesel,5.0,42143 - 60000,1,1199 - 1497,Manual,72 - 78,FWD,21 - 34,Standard Brand Engine,73 - 81,3000 - 4400,146 - 242,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2456 - 2550,1340 - 1430,117000.0,25 - 27,35 - 37,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Petrol,5.0,42143 - 60000,3,796 - 1197,Automatic,78 - 85,FWD,17 - 18,V-Type,73 - 81,4400 - 6000,101 - 113,3500 - 4000,4.0,4.0,MPFi,No,Automatic,4.0,18 - 20,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,163 - 165,2400 - 2456,Unknown,474000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Diesel,5.0,500 - 27000,1,1199 - 1497,Manual,72 - 78,FWD,21 - 34,Standard Brand Engine,73 - 81,3000 - 4400,146 - 242,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2456 - 2550,1340 - 1430,594000.0,25 - 27,35 - 37,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Third Party,Petrol,5.0,27000 - 42143,1,1497 - 5461,Manual,108 - 138,FWD,17 - 18,V-Type,101 - 121,6000 - 7900,146 - 242,4000 - 4500,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3995 - 4420,1647 - 1710,1 - 1495,163 - 165,2550 - 2650,Unknown,361000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Unknown,Petrol,5.0,42143 - 60000,1,1199 - 1497,Manual,85 - 108,FWD,21 - 34,V-Type,101 - 121,4400 - 6000,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Manual,5.0,20 - 27,40 - 43,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,4420 - 5391,1710 - 1780,1 - 1495,165 - 170,2550 - 2650,1430 - 1520,471000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Third Party,Petrol,5.0,60000 - 86000,2,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,6000 - 7900,11 - 101,2800 - 3500,3.0,4.0,CRDi,No,Manual,5.0,18 - 20,27 - 35,BS IV,MacPherson Strut,Standard/Other,Power,Tilt Only,Ventilated Disc,Drum,4 - 3746,1 - 1647,1640 - 1995,163 - 165,2 - 2400,1340 - 1430,379000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Petrol,5.0,60000 - 86000,2,1497 - 5461,Automatic,138 - 536,RWD,5 - 17,Standard,121 - 536,4400 - 6000,242 - 750,4000 - 4500,4.0,4.0,MPFi,Yes,Automatic,8.0,7 - 17,43 - 93,BS IV,Double Wishbone,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1 - 1495,165 - 170,2650 - 3215,1755 - 3250,548000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Third Party,Petrol,5.0,60000 - 86000,1,1199 - 1497,Manual,108 - 138,FWD,17 - 18,V-Type,101 - 121,6000 - 7900,113 - 146,4500 - 6000,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,35 - 40,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4420 - 5391,1647 - 1710,1 - 1495,163 - 165,2550 - 2650,Unknown,243000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2020.0,Comprehensive,Petrol,5.0,500 - 27000,1,1197 - 1199,Manual,78 - 85,FWD,21 - 34,V-Type,81 - 101,4400 - 6000,113 - 146,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,165 - 170,2 - 2400,Unknown,1666000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2021.0,Comprehensive,Petrol,5.0,27000 - 42143,1,1197 - 1199,Manual,78 - 85,FWD,21 - 34,V-Type,81 - 101,4400 - 6000,113 - 146,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,165 - 170,2 - 2400,Unknown,455000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Comprehensive,Petrol,5.0,500 - 27000,1,1197 - 1199,Automatic,85 - 108,FWD,17 - 18,V-Type,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,27 - 35,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,178 - 307,2456 - 2550,Unknown,518000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2019.0,Comprehensive,Petrol,5.0,42143 - 60000,2,1497 - 5461,Automatic,108 - 138,FWD,17 - 18,Standard Brand Engine,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,CRDi,Yes,Automatic,6.0,17 - 18,27 - 35,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Drum,4420 - 5391,1710 - 1780,1 - 1495,178 - 307,2550 - 2650,1520 - 1755,450000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,500 - 27000,1,796 - 1197,Manual,78 - 85,FWD,17 - 18,V-Type,73 - 81,4400 - 6000,113 - 146,3500 - 4000,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,43 - 93,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2550 - 2650,Unknown,775000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Third Party,CNG,5.0,60000 - 86000,1,796 - 1197,Manual,34 - 72,FWD,21 - 34,Standard,34 - 73,4400 - 6000,11 - 101,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,4 - 3746,1 - 1647,1 - 1495,100 - 163,2 - 2400,1140 - 1340,717000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2016.0,Comprehensive,Diesel,5.0,500 - 27000,1,1199 - 1497,Manual,72 - 78,FWD,21 - 34,Standard Brand Engine,73 - 81,3000 - 4400,146 - 242,1400 - 2800,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,165 - 170,2456 - 2550,1340 - 1430,819999.0,25 - 27,35 - 37,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Unknown,,5.0,27000 - 42143,1,1197 - 1199,Manual,85 - 108,FWD,17 - 18,V-Type,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Drum,3995 - 4420,1710 - 1780,1530 - 1640,178 - 307,2550 - 2650,Unknown,245000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
