Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Volume
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,518000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,260000.0,27.39,37.0,170,10526625250.0
2013.0,Unknown,5.0,120000,1,1995,Automatic,RWD,16.5,Standard,184.0,4000.0,380.0,2750.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,157.0,2810.0,Unknown,300000.0,18.88,60.0,235,13420230576.0
2016.0,Unknown,7.0,100000,2,2179,Manual,FWD,16.0,Standard,140.0,3750.0,330.0,2800.0,4.0,Direct Injection,Yes,Manual,6.0,BS IV,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,200.0,2700.0,2510.0,117000.0,16.0,70.0,185,15468185250.0
2019.0,Unknown,5.0,80000,1,1497,Manual,FWD,20.0,Standard,115.0,3750.0,300.0,2500.0,4.0,CRDi,Yes,Manual,6.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,594000.0,20.0,42.0,175,11836254165.0
2018.0,Zero Dep,5.0,122000,2,2143,Automatic,FWD,20.04,Standard,136.0,4400.0,300.0,3000.0,4.0,CRDi,Yes,Automatic,7.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2699.0,2005.0,471000.0,17.9,56.0,220,11781794320.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,1666000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,518000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,100000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,117000.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,16.8,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,361000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,455000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,210000.0,27.39,37.0,170,10526625250.0
2013.0,Unknown,5.0,120000,1,1995,Automatic,RWD,33.0,Standard,184.0,4000.0,380.0,2750.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,157.0,2810.0,Unknown,819999.0,18.88,60.0,235,13420230576.0
2016.0,Unknown,7.0,100000,2,2179,Manual,FWD,16.0,Standard,140.0,3750.0,330.0,2800.0,4.0,Direct Injection,Yes,Manual,6.0,BS IV,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,200.0,2700.0,2510.0,474000.0,16.0,70.0,185,15468185250.0
2019.0,Unknown,5.0,80000,1,1497,Manual,FWD,20.0,Standard,115.0,3750.0,300.0,2500.0,4.0,CRDi,Yes,Manual,6.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,117000.0,20.0,42.0,175,11836254165.0
2018.0,Zero Dep,5.0,122000,2,2143,Automatic,FWD,19.81,Standard,136.0,4400.0,300.0,3000.0,4.0,CRDi,Yes,Automatic,7.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2699.0,2005.0,361000.0,17.9,56.0,220,11781794320.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,455000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,265000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,455000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,380000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,455000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,380000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,117000.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,17.8,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,594000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,548000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,1666000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,360000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,300000.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,33.0,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,117000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,165000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,165000.0,27.39,37.0,170,10526625250.0
2013.0,Unknown,5.0,120000,1,1995,Automatic,RWD,20.0,Standard,184.0,4000.0,380.0,2750.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,157.0,2810.0,Unknown,200000.0,18.88,60.0,235,13420230576.0
2016.0,Unknown,7.0,100000,2,2179,Manual,FWD,16.0,Standard,140.0,3750.0,330.0,2800.0,4.0,Direct Injection,Yes,Manual,6.0,BS IV,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,200.0,2700.0,2510.0,300000.0,16.0,70.0,185,15468185250.0
2019.0,Unknown,5.0,80000,1,1497,Manual,FWD,20.0,Standard,115.0,3750.0,300.0,2500.0,4.0,CRDi,Yes,Manual,6.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,,20.0,42.0,175,11836254165.0
2018.0,Zero Dep,5.0,122000,2,2143,Automatic,FWD,17.0,Standard,136.0,4400.0,300.0,3000.0,4.0,CRDi,Yes,Automatic,7.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2699.0,2005.0,117000.0,17.9,56.0,220,11781794320.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,165000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,165000.0,27.39,37.0,170,10526625250.0
2013.0,Unknown,5.0,120000,1,1995,Automatic,RWD,19.0,Standard,184.0,4000.0,380.0,2750.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,157.0,2810.0,Unknown,200000.0,18.88,60.0,235,13420230576.0
2016.0,Unknown,7.0,100000,2,2179,Manual,FWD,16.0,Standard,140.0,3750.0,330.0,2800.0,4.0,Direct Injection,Yes,Manual,6.0,BS IV,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,200.0,2700.0,2510.0,300000.0,16.0,70.0,185,15468185250.0
2019.0,Unknown,5.0,80000,1,1497,Manual,FWD,20.0,Standard,115.0,3750.0,300.0,2500.0,4.0,CRDi,Yes,Manual,6.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,,20.0,42.0,175,11836254165.0
2018.0,Zero Dep,5.0,122000,2,2143,Automatic,FWD,20.0,Standard,136.0,4400.0,300.0,3000.0,4.0,CRDi,Yes,Automatic,7.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2699.0,2005.0,117000.0,17.9,56.0,220,11781794320.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,243000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,165000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,1250000.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,24.04,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,474000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,471000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,548000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,248000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,819999.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,20.92,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,300000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,361000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,430999.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,361000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,430999.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,361000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,430999.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,361000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,379000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,430999.0,27.39,37.0,170,10526625250.0
2013.0,Unknown,5.0,120000,1,1995,Automatic,RWD,18.9,Standard,184.0,4000.0,380.0,2750.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,157.0,2810.0,Unknown,380000.0,18.88,60.0,235,13420230576.0
2016.0,Unknown,7.0,100000,2,2179,Manual,FWD,16.0,Standard,140.0,3750.0,330.0,2800.0,4.0,Direct Injection,Yes,Manual,6.0,BS IV,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,200.0,2700.0,2510.0,150000.0,16.0,70.0,185,15468185250.0
2019.0,Unknown,5.0,80000,1,1497,Manual,FWD,20.0,Standard,115.0,3750.0,300.0,2500.0,4.0,CRDi,Yes,Manual,6.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,559000.0,20.0,42.0,175,11836254165.0
2018.0,Zero Dep,5.0,122000,2,2143,Automatic,FWD,14.08,Standard,136.0,4400.0,300.0,3000.0,4.0,CRDi,Yes,Automatic,7.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2699.0,2005.0,,17.9,56.0,220,11781794320.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,361000.0,27.39,37.0,170,10526625250.0
